,STN,YEARMODA,TEMP,DIFF,PRCP,GUST
0,690020,1990-11-30,57.758823529411764,35.85294117647059,0.0,14.216666666666669
1,690020,1991-11-30,63.6888888888889,35.75555555555555,0.0,15.55
2,690020,1992-11-30,61.19444444444444,34.872222222222234,0.0,14.0
3,690020,1993-11-30,58.06666666666668,32.99333333333333,0.018666666666666668,18.35
4,690020,1994-11-30,50.31818181818182,29.868181818181814,0.045454545454545456,18.3
5,690020,1995-11-30,64.3923076923077,36.60000000000001,0.015384615384615385,16.45
6,690020,1996-11-30,,,,
7,690070,1991-11-30,,,,
8,690070,1992-11-30,54.20526315789473,24.378947368421063,0.002105263157894737,22.0
9,690140,1989-11-30,63.41935483870968,20.606451612903225,0.0,28.0
10,690140,1990-11-30,63.90333333333331,24.259999999999998,0.015333333333333334,25.22
11,690140,1991-11-30,64.52666666666667,23.173333333333332,0.0013333333333333333,23.75
12,690140,1992-11-30,64.06,21.75,0.0,25.99
13,690140,1993-11-30,63.72580645161291,22.225806451612907,0.020645161290322577,21.879999999999995
14,690140,1994-11-30,56.37333333333333,21.226666666666674,0.07666666666666667,18.833333333333332
15,690140,1995-11-30,61.3,22.026666666666667,0.0026666666666666666,22.0
16,690140,1996-11-30,60.83000000000003,17.286666666666665,0.16620689655172416,21.25
17,690140,1997-11-30,62.699999999999996,19.187096774193552,0.013548387096774195,26.05
18,690140,1998-11-30,57.81333333333332,22.160000000000007,0.005666666666666667,
19,690150,1990-11-30,61.416666666666664,26.983333333333334,0.0,25.35
20,690150,1991-11-30,60.7,30.55384615384616,0.0,29.866666666666664
21,690150,1992-11-30,60.04285714285714,28.671428571428585,0.0,22.56666666666667
22,690150,1993-11-30,55.62758620689655,29.21379310344828,0.006896551724137932,24.299999999999997
23,690150,1994-11-30,57.33529411764707,25.11176470588235,0.0,32.239999999999995
24,690150,1995-11-30,63.900000000000006,31.679166666666674,0.0,22.879999999999995
25,690150,1996-11-30,59.940740740740736,25.62962962962963,0.01074074074074074,25.087500000000002
26,690150,1997-11-30,58.81612903225807,26.954838709677418,0.0064516129032258064,28.82857142857143
27,690150,1998-11-30,56.592,25.62400000000001,0.0044,23.06666666666667
28,690150,1999-11-30,60.17666666666667,31.60333333333333,0.0,22.150000000000002
29,690150,2000-11-30,51.123333333333335,25.45666666666667,0.0,25.400000000000002
30,690150,2001-11-30,60.180645161290336,24.90645161290322,0.0,33.44285714285714
31,690150,2002-11-30,59.47931034482759,24.641379310344828,0.006071428571428572,30.812500000000004
32,690150,2003-11-30,52.85,21.203333333333333,0.0014285714285714286,24.475
33,690150,2004-11-30,58.08666666666667,20.8,0.004666666666666667,24.857142857142858
34,690150,2005-11-30,64.13225806451611,23.38709677419355,0.0,20.5
