STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19801211    58.5 24    38.6 24  1020.4 23  1019.5  8   17.3 24    3.0 24    8.9  999.9    73.9*   45.9   0.00D 999.9  000000 
722900 23188  19801212    60.5 23    30.9 23  1017.1 23  1016.1  8   15.8 23    2.8 23    7.0  999.9    74.8    46.9*  0.00D 999.9  000000 
722900 23188  19801213    59.7 24    40.2 24  1020.0 24  1018.8  8   12.8 24    4.6 24    8.0  999.9    72.0    48.9   0.00D 999.9  000000 
722900 23188  19801214    59.7 23    43.4 23  1023.2 23  1022.2  8   13.6 23    4.3 23   11.8  999.9    73.0*   46.9   0.00D 999.9  000000 
722900 23188  19801215    60.8 24    35.7 24  1021.4 24  1020.6  8    8.2 24    4.3 24   12.0  999.9    77.0*   45.9   0.00D 999.9  000000 
722900 23188  19801216    65.2 24    34.9 24  1017.3 22  1016.3  8   14.1 24    3.9 24    9.9  999.9    84.0*   52.0   0.00D 999.9  000000 
722900 23188  19801217    62.9 24    50.5 24  1016.8 24  1015.9  8   11.4 24    3.7 24   10.1  999.9    83.8    55.9   0.00D 999.9  100000 
722900 23188  19801218    58.7 23    53.2 23  1017.8 23  1016.8  8    3.8 23    4.3 23   11.8  999.9    70.0    55.9   0.00D 999.9  100000 
722900 23188  19801219    57.8 24    51.2 24  1018.1 24  1017.1  8    4.7 24    6.0 24   12.0  999.9    66.0*   52.0*  0.00D 999.9  100000 
722900 23188  19801220    58.9 23    53.3 23  1016.5 23  1015.6  8    1.3 23    5.3 23    8.9  999.9    75.0*   50.0*  0.00D 999.9  100000 
722900 23188  19801221    57.0 24    53.7 24  1017.2 24  1016.1  8    0.7 24    3.4 24    8.9  999.9    72.9    48.9   0.00D 999.9  100000 
722900 23188  19801222    57.1 23    53.3 23  1019.4 23  1018.3  8    1.2 23    5.1 23   10.1  999.9    68.0    50.0   0.00D 999.9  100000 
722900 23188  19801223    59.4 24    54.6 24  1018.7 24  1017.6  8    2.0 24    4.1 24    9.9  999.9    72.0*   52.9   0.00D 999.9  100000 
722900 23188  19801224    61.4 24    51.1 24  1021.5 24  1020.4  8    7.3 24    4.9 24   11.8  999.9    75.0*   48.9   0.00D 999.9  100000 
722900 23188  19801225    60.9 24    37.0 24  1022.5 24  1021.6  8   13.3 24    3.3 24   12.0  999.9    75.9*   47.8   0.00D 999.9  000000 
722900 23188  19801226    61.6 22    37.3 22  1020.2 22  1019.4  8   14.0 22    3.7 22    8.9  999.9    75.9    48.9   0.00D 999.9  000000 
722900 23188  19801227    61.0 24    49.6 24  1020.5 24  1019.4  8    8.8 24    4.1 24    9.9  999.9    75.9    50.0   0.00D 999.9  100000 
722900 23188  19801228    59.6 24    50.9 24  1019.3 24  1018.3  8    5.5 24    3.9 24    8.0  999.9    72.0    54.0*  0.00D 999.9  100000 
722900 23188  19801229    59.4 24    47.5 24  1018.6 24  1017.6  8    4.9 24    4.3 23    9.9  999.9    72.0*   48.0*  0.00D 999.9  100000 
722900 23188  19801230    63.5 24    48.2 24  1016.2 24  1015.4  8    9.2 24    4.6 24    8.0  999.9    86.0*   50.9   0.00D 999.9  100000 
722900 23188  19801231    60.2 23    51.9 23  1015.3 23  1014.2  8    7.2 23    3.7 23    7.0  999.9    86.9    50.9   0.00D 999.9  100000 
722900 23188  19810101    64.8 24    50.8 24  1016.6 24  1015.6  8   12.1 24    4.8 24   10.1  999.9    71.1*   60.1*  0.00D 999.9  000000 
722900 23188  19810102    60.6 23    55.9 23  1018.4 23  1017.3  8    5.0 22    5.2 23   15.0  999.9    72.0    52.0   0.00D 999.9  100000 
722900 23188  19810103    60.7 24    55.4 24  1019.9 24  1018.9  8    5.2 24    5.9 24   14.0  999.9    68.9    56.8   0.00D 999.9  100000 
722900 23188  19810104    59.9 24    57.0 24  1018.1 24  1017.3  8    4.1 24    5.5 24   13.0  999.9    68.0    57.9   0.00D 999.9  100000 
722900 23188  19810105    60.6 23    56.0 23  1014.3 23  1013.2  8    5.8 23    4.7 23   10.1  999.9    70.0*   54.9   0.00D 999.9  100000 
722900 23188  19810106    62.5 24    52.9 24  1015.3 24  1014.1  8    5.2 24    4.8 24   10.1  999.9    73.9*   52.9   0.00D 999.9  100000 
722900 23188  19810107    62.2 24    50.7 24  1016.3 24  1015.3  8    8.3 24    6.5 24   11.8  999.9    74.8    54.9   0.00D 999.9  100000 
722900 23188  19810108    59.4 24    54.1 23  1017.1 24  1015.9  8    5.3 24    4.6 24    9.9  999.9    68.9    53.1*  0.00D 999.9  100000 
722900 23188  19810109    59.1 24    49.3 24  1017.6 24  1016.7  8    6.7 24    5.4 24   10.9  999.9    70.0*   48.9   0.00D 999.9  100000 
722900 23188  19810110    61.2 24    38.5 24  1015.9 24  1014.9  8   11.4 24    3.4 24   11.1  999.9    77.0    48.9   0.00D 999.9  000000 
722900 23188  19810111    66.9 24    48.3 24  1015.0 24  1013.9  8   13.4 24    5.3 24   11.8  999.9    75.0*   61.9   0.04G 999.9  010000 
722900 23188  19810112    66.8 23    57.8 23  1016.4 23  1015.3  8   12.8 23    6.4 23   15.9  999.9    73.9    61.9   0.24G 999.9  010000 
722900 23188  19810113    65.2 23    56.8 23  1018.2 22  1017.1  8   13.9 23    4.0 23    8.9  999.9    72.9    57.9   0.08G 999.9  000000 
722900 23188  19810114    63.3 24    54.4 24  1018.5 24  1017.5  8    9.7 24    3.8 24   10.9  999.9    72.0    55.9   0.00G 999.9  000000 
722900 23188  19810115    61.3 24    54.7 24  1016.4 24  1015.5  8    5.3 24    3.3 24    9.9  999.9    70.9    54.9   0.00D 999.9  000000 
