STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19960412    61.1 24    53.5 24  1016.4 24  1015.4 24    9.6 24    6.8 24   12.0  999.9    66.9    55.9   0.00G 999.9  000000 
722900 23188  19960413    61.5 24    51.1 24  1015.4 24  1014.4 24   10.6 24    6.9 24   11.1  999.9    66.0    55.9   0.00G 999.9  000000 
722900 23188  19960414    63.9 24    51.5 24  1016.3 24  1015.3 24   11.0 24    6.0 24   14.0  999.9    75.9*   55.9   0.00G 999.9  000000 
722900 23188  19960415    66.0 24    52.3 24  1016.8 24  1015.8 24   13.1 24    5.4 24   12.0  999.9    79.0*   55.9   0.00G 999.9  000000 
722900 23188  19960416    63.1 24    53.8 24  1015.1 24  1014.0 24    9.9 24    5.6 24   11.1  999.9    79.0    57.0   0.00G 999.9  100000 
722900 23188  19960417    64.1 24    57.2 24  1016.6 24  1015.6 24   13.7 24    6.9 24   11.1  999.9    70.0    57.0   0.01G 999.9  010000 
722900 23188  19960418    63.3 24    55.9 24  1019.0 24  1018.0 24   14.6 24    9.5 24   13.0  999.9    70.0    60.1   0.31G 999.9  110000 
722900 23188  19960419    61.3 24    49.7 24  1020.4 24  1019.4 24   16.2 24    5.6 24   13.0   19.8    66.9*   54.0   0.01G 999.9  000000 
722900 23188  19960420    60.7 24    46.6 24  1017.8 24  1016.8 24   18.0 24    6.1 24   14.0  999.9    68.0    54.0   0.00G 999.9  000000 
722900 23188  19960421    61.0 24    50.0 24  1014.8 24  1013.8 24   15.1 24    6.9 24   11.1  999.9    66.0    54.0   0.00G 999.9  000000 
722900 23188  19960422    62.5 24    49.4 24  1016.9 24  1015.9 24   18.6 24    5.9 24   14.0  999.9    71.1*   55.0   0.00G 999.9  000000 
722900 23188  19960423    67.5 24    50.0 24  1017.5 24  1016.5 24   17.4 24    6.4 24   13.0   18.8    78.1*   55.0   0.00G 999.9  000000 
722900 23188  19960424    67.8 24    57.2 24  1016.2 24  1015.2 24   12.1 24    5.5 24   14.0  999.9    79.0    57.9   0.00G 999.9  000000 
722900 23188  19960425    65.5 24    59.0 24  1013.7 24  1012.7 24    8.1 24    6.7 24   11.1  999.9    79.0    60.1   0.00G 999.9  100000 
722900 23188  19960426    64.2 24    59.4 24  1013.6 24  1012.6 24    4.8 24    5.4 24    9.9  999.9    70.0    61.0   0.00G 999.9  100000 
722900 23188  19960427    62.6 24    57.7 24  1012.7 24  1011.7 24    5.4 24    6.8 24   12.0  999.9    68.0    60.1   0.00G 999.9  100000 
722900 23188  19960428    64.1 24    57.1 24  1011.6 24  1010.6 24    6.3 24    6.9 24   13.0  999.9    70.0*   60.1   0.00G 999.9  100000 
722900 23188  19960429    68.3 24    54.4 24  1014.8 24  1013.8 24   12.0 24    7.4 24   12.0  999.9    84.9*   57.9   0.00G 999.9  100000 
722900 23188  19960430    75.8 24    41.0 24  1013.7 24  1012.7 24   17.6 24    6.1 24   14.0  999.9    87.1    57.9   0.00G 999.9  000000 
722900 23188  19960501    67.0 24    60.9 24  1012.8 24  1011.8 24    7.1 24    7.2 24   13.0  999.9    86.0    62.1   0.00G 999.9  100000 
722900 23188  19960502    65.0 24    59.0 24  1014.0 24  1013.0 24    7.4 24    6.5 24   12.0  999.9    70.0    62.1   0.00G 999.9  100000 
722900 23188  19960503    65.8 24    57.7 24  1013.2 24  1012.2 24    9.7 24    5.4 24   10.1  999.9    70.0    62.1   0.00G 999.9  000000 
722900 23188  19960504    65.5 24    58.0 24  1014.2 24  1013.2 24    8.0 24    6.9 24   10.1  999.9    71.1    62.1   0.00G 999.9  000000 
722900 23188  19960505    66.2 24    59.1 24  1015.6 24  1014.6 24    7.6 24    6.2 24   12.0  999.9    73.0*   61.0   0.00G 999.9  100000 
722900 23188  19960506    67.8 24    58.6 24  1014.1 24  1013.1 24    9.0 24    5.8 24   12.0  999.9    75.9*   61.0   0.00G 999.9  100000 
722900 23188  19960507    66.4 24    56.9 24  1013.6 24  1012.6 24   12.6 24    6.6 24   10.1  999.9    75.9    61.0   0.00G 999.9  000000 
722900 23188  19960508    65.7 24    56.3 24  1014.0 24  1013.0 24   10.1 24    6.4 24   13.0  999.9    71.1*   61.0   0.00G 999.9  000000 
722900 23188  19960509    65.9 24    56.5 24  1015.0 24  1014.0 24   11.7 24    6.9 24   11.1  999.9    71.1    61.0   0.00G 999.9  000000 
722900 23188  19960510    67.4 24    60.0 24  1016.5 24  1015.5 24    8.0 24    6.2 24   13.0  999.9    73.9*   63.0   0.00G 999.9  000000 
722900 23188  19960511    70.1 24    60.2 24  1015.3 24  1014.3 24    9.4 24    7.1 24   13.0  999.9    80.1*   63.0   0.00G 999.9  000000 
722900 23188  19960512    70.5 24    62.0 24  1013.1 24  1012.1 24   11.4 24    5.9 24   10.1  999.9    82.9    64.0   0.00G 999.9  000000 
722900 23188  19960513    66.4 24    59.6 24  1012.3 24  1011.3 24    8.7 24    6.9 24   12.0  999.9    77.0    63.0   0.00G 999.9  000000 
722900 23188  19960514    66.1 24    57.9 24  1013.4 24  1012.3 24    7.9 24    6.6 24   12.0  999.9    71.1*   63.0   0.00G 999.9  000000 
722900 23188  19960515    68.9 24    61.3 24  1014.1 24  1013.1 24   10.0 24    6.1 24   11.1  999.9    73.0    63.0   0.00G 999.9  000000 
722900 23188  19960516    68.3 24    60.7 24  1015.1 24  1014.1 24   15.7 24    7.3 24   13.0  999.9    73.9    66.0   0.00G 999.9  000000 
722900 23188  19960517    69.2 24    61.6 24  1015.3 24  1014.3 24   18.0 24    9.6 24   15.9   22.0    73.0    66.0   0.00G 999.9  000000 
722900 23188  19960518    68.7 24    60.5 24  1014.9 24  1013.9 24   14.2 24    7.9 24   15.0  999.9    73.9    64.9   0.00G 999.9  000000 
722900 23188  19960519    67.3 24    58.0 24  1015.2 24  1014.2 24   14.3 24    7.4 24   13.0   19.8    73.0    64.0   0.00G 999.9  000000 
722900 23188  19960520    66.2 24    56.4 24  1013.7 24  1012.7 24   11.2 24    6.7 24   11.1  999.9    71.1    63.0   0.00G 999.9  000000 
722900 23188  19960521    66.5 24    57.3 24  1013.3 24  1012.3 24   10.2 24    6.1 24   10.1  999.9    72.0*   63.0   0.00G 999.9  000000 
722900 23188  19960522    66.4 24    58.6 24  1014.5 24  1013.5 24   10.6 24    7.2 24   13.0  999.9    70.0    64.0   0.00D 999.9  000000 
722900 23188  19960523    63.5 24    52.9 24  1013.6 24  1012.6 24   10.8 24    6.8 24   12.0   17.9    68.0    60.1   0.00G 999.9  000000 
722900 23188  19960524    63.8 24    53.6 24  1009.5 24  1008.5 24    9.8 24    9.0 24   14.0   19.8    69.1    60.1   0.00G 999.9  010000 
722900 23188  19960525    62.7 24    52.8 24  1011.8 24  1010.8 24   11.4 24    7.0 24   13.0  999.9    66.9    57.9   0.02G 999.9  000000 
722900 23188  19960526    63.1 24    51.8 24  1015.2 24  1014.2 24   14.8 24    5.9 24   14.0  999.9    68.0    57.0   0.00G 999.9  000000 
722900 23188  19960527    63.7 24    54.7 24  1014.6 24  1013.6 24   13.7 24    6.3 24   12.0  999.9    69.1    57.0   0.00G 999.9  000000 
722900 23188  19960528    64.2 24    51.6 24  1013.8 24  1012.8 24   14.6 24    7.4 24   14.0  999.9    68.0    62.1   0.00G 999.9  000000 
722900 23188  19960529    64.3 24    55.6 24  1013.6 24  1012.6 24    8.5 24    6.2 24   10.1  999.9    69.1    62.1   0.00D 999.9  000000 
722900 23188  19960530    63.1 24    51.8 24  1014.2 24  1013.2 24   10.8 24    6.8 24   10.1  999.9    66.9    61.0   0.00G 999.9  000000 
722900 23188  19960531    64.1 24    53.1 24  1014.1 24  1013.1 24    9.0 24    6.1 24   14.0  999.9    68.0    61.0   0.00G 999.9  000000 
722900 23188  19960601    66.3 24    58.3 24  1013.8 24  1012.8 24    7.9 24    5.9 24   10.1  999.9    73.9*   62.1   0.00G 999.9  000000 
722900 23188  19960602    71.0 24    60.8 24  1015.5 24  1014.5 24   10.0 24    5.1 24   12.0  999.9    81.0*   62.1   0.00G 999.9  000000 
722900 23188  19960603    72.2 24    58.1 24  1015.5 24  1014.5 24   12.8 24    6.5 24   13.0  999.9    81.0    64.0   0.00G 999.9  000000 
722900 23188  19960604    67.6 24    60.1 24  1013.9 24  1012.9 24   11.1 24    6.3 24    8.9  999.9    78.1    64.0   0.00G 999.9  000000 
722900 23188  19960605    65.8 24    59.0 24  1013.0 24  1012.0 24    7.5 24    7.0 24   10.1  999.9    73.0    64.0   0.00G 999.9  100000 
722900 23188  19960606    65.0 24    58.0 24  1013.9 24  1012.9 24    5.2 24    5.8 24    8.9  999.9    69.1    62.1   0.00G 999.9  100000 
722900 23188  19960607    65.2 24    57.4 24  1014.2 24  1013.2 24    7.6 24    5.6 24   10.1  999.9    70.0    62.1   0.00G 999.9  100000 
722900 23188  19960608    68.3 24    60.0 24  1014.1 24  1013.1 24    9.3 24    6.6 24   13.0  999.9    73.9    63.0   0.00G 999.9  100000 
722900 23188  19960609    67.9 24    60.4 24  1013.8 24  1012.8 24    8.0 24    6.4 24   11.1  999.9    73.9    63.0   0.00G 999.9  100000 
722900 23188  19960610    67.0 24    60.0 24  1013.6 24  1012.6 24    7.1 24    6.0 24   10.9  999.9    75.0    63.0   0.00G 999.9  100000 
722900 23188  19960611    65.6 24    58.4 24  1013.2 24  1012.2 24    7.1 24    6.6 24   12.0  999.9    71.1    63.0   0.00G 999.9  100000 
722900 23188  19960612    67.0 24    57.4 24  1012.6 24  1011.6 24   11.3 24    6.8 24   10.1  999.9    71.1    63.0   0.00G 999.9  000000 
722900 23188  19960613    66.7 24    56.2 24  1013.6 24  1012.6 24   10.9 24    5.7 24   10.1  999.9    70.0    63.0   0.00G 999.9  000000 
722900 23188  19960614    66.4 24    57.0 24  1014.2 24  1013.2 24    9.7 24    5.8 24   10.1  999.9    72.0    64.0   0.00G 999.9  000000 
722900 23188  19960615    65.8 24    57.0 24  1013.3 24  1012.3 24    8.9 24    5.7 24    8.9  999.9    71.1    63.0   0.00G 999.9  000000 
722900 23188  19960616    65.5 24    57.3 24  1013.1 24  1012.0 24    7.4 24    6.0 24   14.0   29.9    73.0*   63.0   0.00G 999.9  000000 
722900 23188  19960617    66.5 24    58.6 24  1014.4 24  1013.4 24    8.0 24    7.0 24   14.0   19.8    73.0    63.0   0.00G 999.9  000000 
722900 23188  19960618    67.5 24    60.4 24  1011.8 24  1010.8 24    6.5 24    6.2 24   13.0   18.8    73.9*   64.0   0.00G 999.9  100000 
722900 23188  19960619    65.6 24    60.0 24  1010.6 24  1009.5 24    5.4 24    6.0 24   12.0  999.9    75.0    63.0   0.00C 999.9  100000 
722900 23188  19960620    65.7 24    58.5 24  1011.6 24  1010.6 24    7.2 24    6.3 24   12.0  999.9    69.1    63.0   0.00G 999.9  000000 
722900 23188  19960621    66.0 24    56.5 24  1011.2 24  1010.2 24   10.1 24    6.4 24   11.1  999.9    69.1    64.0   0.00G 999.9  000000 
722900 23188  19960622    64.9 24    54.9 24  1012.0 24  1011.0 24   11.2 24    6.9 24   13.0  999.9    70.0    62.1   0.00G 999.9  000000 
722900 23188  19960623    65.8 24    57.0 24  1011.4 24  1010.4 24    7.9 24    6.3 24   13.0  999.9    69.1    62.1   0.00G 999.9  000000 
722900 23188  19960624    64.8 24    56.3 24  1013.3 24  1012.3 24    9.3 24    6.4 24   13.0  999.9    69.1    63.0   0.00G 999.9  000000 
722900 23188  19960625    66.9 24    58.3 24  1011.7 24  1010.7 24    8.5 24    6.9 24   14.0  999.9    70.0*   63.0   0.00G 999.9  000000 
722900 23188  19960626    64.8 24    55.2 24  1011.9 24  1010.9 24   15.2 24    9.2 24   13.0   16.9    71.1    62.1   0.00G 999.9  000000 
722900 23188  19960627    64.5 24    52.0 24  1014.5 24  1013.5 24   22.0 24    9.2 24   14.0   21.0    68.0*   62.1   0.00G 999.9  000000 
722900 23188  19960628    66.3 24    55.9 24  1015.2 24  1014.2 24   18.8 24    9.0 24   15.9  999.9    71.1*   62.1   0.00G 999.9  000000 
722900 23188  19960629    71.1 24    56.7 24  1011.6 24  1010.6 24   21.3 24    6.1 24   12.0  999.9    82.0*   62.1   0.00G 999.9  000000 
722900 23188  19960630    75.2 24    60.0 24  1011.0 24  1010.0 24   13.9 24    5.1 24   12.0  999.9    84.0*   64.0   0.00G 999.9  000000 
722900 23188  19960701    72.7 24    64.3 24  1011.6 24  1010.6 24    9.8 24    7.3 23   15.0   19.0    81.0*   67.5*  0.00B 999.9  100000 
722900 23188  19960702    70.9 24    63.0 24  1009.8 24  1008.8 24    8.6 24    6.7 24   10.1  999.9    77.0*   66.7*  0.00G 999.9  100000 
722900 23188  19960703    71.0 24    63.7 24  1010.7 24  1009.7 24    8.6 24    5.5 24   10.1  999.9    75.7*   67.6*  0.00G 999.9  000000 
722900 23188  19960704    70.3 24    63.6 24  1010.5 23  1009.5 23    8.5 24    5.6 24    8.9  999.9    76.6*   63.9*  0.00G 999.9  100000 
722900 23188  19960705    70.4 24    63.2 24  1010.3 22  1009.2 22    5.4 24    5.7 24    8.9  999.9    76.3*   65.8*  0.00G 999.9  100000 
722900 23188  19960706    70.3 24    63.6 24  1011.5 19  1010.5 19    7.1 24    6.6 24   14.0  999.9    75.7*   65.5*  0.00G 999.9  100000 
722900 23188  19960707    67.5 24    61.4 24  1012.1 23  1011.1 24    7.8 24    8.0 24   13.0  999.9    70.9*   65.7*  0.00G 999.9  100000 
722900 23188  19960708    65.5 24    58.6 24  1010.6 24  1009.6 23    8.9 24    7.0 24   11.1  999.9    70.3*   63.1*  0.00G 999.9  100000 
722900 23188  19960709    66.4 24    58.5 24  1011.0 23  1010.0 23    8.7 24    5.5 24   10.1  999.9    71.4*   63.9*  0.00G 999.9  000000 
722900 23188  19960710    67.4 24    61.3 24  1014.4 24  1013.4 24    9.2 24    6.5 24   11.1  999.9    71.4*   65.7*  0.00G 999.9  010010 
722900 23188  19960711    68.2 24    61.9 24  1016.2 23  1015.1 23    9.8 24    7.3 24   12.0  999.9    72.3*   65.1*  0.09G 999.9  000000 
722900 23188  19960712    67.9 24    61.2 24  1015.0 24  1014.0 24   10.8 24    8.1 24   14.0   20.0    71.2*   64.9*  0.00G 999.9  000000 
722900 23188  19960713    67.4 24    60.0 24  1013.1 23  1012.2 22   10.7 24    8.3 24   14.0  999.9    70.7*   64.8*  0.00G 999.9  100000 
722900 23188  19960714    66.6 24    59.2 24  1012.7 23  1011.7 23    9.9 24    7.1 24   12.0  999.9    70.2*   64.4*  0.00G 999.9  000000 
722900 23188  19960715    67.3 24    59.7 24  1013.6 23  1012.6 23   10.2 24    6.6 24   11.1  999.9    70.7*   65.1*  0.00G 999.9  000000 
722900 23188  19960716    67.8 24    60.6 24  1013.9 24  1012.9 24    7.9 24    6.1 24   10.1  999.9    72.1*   65.5*  0.00G 999.9  100000 
722900 23188  19960717    68.8 24    60.2 24  1013.8 23  1012.8 23   10.2 24    7.1 24   12.0  999.9    72.0*   67.1*  0.00G 999.9  000000 
722900 23188  19960718    68.0 24    60.1 24  1015.1 23  1014.1 23   10.6 24    6.3 24   11.1  999.9    72.1*   65.8*  0.00G 999.9  000000 
722900 23188  19960719    68.4 24    61.3 24  1014.5 24  1013.5 23    8.5 24    6.3 24   10.1  999.9    73.6*   66.0*  0.00G 999.9  000000 
722900 23188  19960720    68.6 24    62.3 24  1013.1 20  1012.1 20    7.4 24    5.9 24    8.9  999.9    73.2*   64.4*  0.00G 999.9  100000 
722900 23188  19960721    67.4 24    61.7 24  1014.1 22  1013.1 22    6.5 24    6.4 24   11.1  999.9    72.3*   63.3*  0.00G 999.9  100000 
722900 23188  19960722    69.0 24    62.8 24  1016.6 24  1015.6 24    7.5 24    6.7 24   13.0  999.9    74.3*   64.4*  0.00G 999.9  100000 
722900 23188  19960723    69.1 24    63.1 24  1016.9 24  1015.9 24    8.9 24    7.6 24   14.0  999.9    73.8*   65.5*  0.00G 999.9  000000 
722900 23188  19960724    68.7 24    61.3 24  1014.0 24  1012.9 24    9.1 24    6.6 24   14.0  999.9    73.2*   65.8*  0.00G 999.9  000000 
722900 23188  19960725    68.5 24    62.3 24  1012.6 24  1011.5 24    6.9 24    5.4 24    8.0  999.9    74.3*   65.3*  0.00G 999.9  100000 
722900 23188  19960726    71.2 24    64.2 24  1013.3 24  1012.3 24    8.2 24    5.4 24    8.0  999.9    77.2*   67.6*  0.00G 999.9  010000 
722900 23188  19960727    72.1 24    66.1 24  1013.6 24  1012.6 24    7.9 24    6.0 24   11.1  999.9    76.1*   69.4*  0.00G 999.9  100000 
722900 23188  19960728    71.8 24    66.4 24  1014.8 24  1013.8 24    7.0 24    7.9 24   15.0  999.9    76.8*   69.4*  0.00G 999.9  100000 
722900 23188  19960729    73.3 24    65.8 24  1014.9 24  1013.9 24   11.1 24    8.1 24   14.0  999.9    77.5*   69.4*  0.00G 999.9  000000 
722900 23188  19960730    73.9 24    66.6 24  1013.4 24  1012.4 24   11.4 24    7.4 24   14.0  999.9    78.4*   69.8*  0.00G 999.9  000000 
722900 23188  19960731    72.8 24    66.2 24  1011.6 24  1010.6 24    9.6 24    6.9 24   11.1  999.9    77.9*   69.1*  0.00G 999.9  000000 
722900 23188  19960801    70.5 24    64.8 24  1011.9 24  1011.0 24    7.2 24    6.0 24   13.0  999.9    73.9*   68.0*  0.00G 999.9  100000 
722900 23188  19960802    69.1 24    64.2 24  1013.2 24  1012.4 24    5.0 24    5.6 24    8.9  999.9    73.9*   66.9*  0.00I 999.9  100000 
722900 23188  19960803    68.7 24    62.6 24  1014.4 24  1013.5 24    7.4 24    6.7 24   10.1  999.9    73.9*   66.0*  0.00I 999.9  100000 
722900 23188  19960804    68.3 24    57.7 24  1014.2 24  1013.3 24    9.9 24    6.7 24   11.1  999.9    72.0*   66.0*  0.00I 999.9  000000 
722900 23188  19960805    67.8 24    57.5 24  1015.7 24  1014.8 24    9.5 24    6.0 24    8.9  999.9    71.1*   66.0*  0.00A 999.9  000000 
722900 23188  19960806    69.1 24    58.3 24  1015.7 24  1014.8 23    9.8 24    6.4 24   13.0  999.9    73.9*   66.2*  0.00D 999.9  000000 
722900 23188  19960807    69.8 24    61.4 24  1014.6 24  1013.7 23    9.6 24    6.9 24   13.0  999.9    73.0*   68.0*  0.00C 999.9  000000 
722900 23188  19960808    68.4 24    62.1 24  1014.8 24  1013.9 23    8.2 24    5.9 24   11.1  999.9    73.4*   66.2*  0.00C 999.9  100000 
722900 23188  19960809    69.1 24    63.7 24  1013.9 24  1012.9 22    5.7 24    6.1 24   11.1  999.9    73.9*   66.2*  0.00C 999.9  100000 
722900 23188  19960810    69.4 24    64.3 24  1012.4 24  1011.5 24    5.6 24    5.5 24    8.9  999.9    75.0*   66.2*  0.00C 999.9  100000 
722900 23188  19960811    71.5 24    64.5 24  1012.5 24  1011.6 24    7.5 24    5.6 24    8.9  999.9    77.0*   69.1*  0.00D 999.9  000000 
722900 23188  19960812    72.5 24    65.4 24  1012.5 24  1011.6 24    9.0 24    6.4 24   11.1  999.9    78.1*   69.1*  0.00D 999.9  100000 
722900 23188  19960813    73.5 24    66.5 24  1012.7 24  1011.8 24    8.4 24    5.3 24    8.9  999.9    79.0*   70.0*  0.00D 999.9  100000 
722900 23188  19960814    75.6 24    66.5 24  1015.0 24  1014.1 24    8.9 24    4.3 24    8.0  999.9    86.0*   71.1*  0.00D 999.9  000000 
722900 23188  19960815    76.4 24    68.6 24  1014.1 24  1013.2 23    8.5 24    5.3 24   10.1  999.9    80.1*   73.4*  0.00D 999.9  010010 
722900 23188  19960816    75.3 24    67.6 24  1015.3 24  1014.4 22    8.5 24    4.4 24    8.9  999.9    79.0*   71.6*  0.00C 999.9  100000 
722900 23188  19960817    72.2 24    64.3 24  1015.0 24  1014.1 21    8.2 24    5.1 24    7.0  999.9    77.0*   69.1*  0.00D 999.9  100000 
722900 23188  19960818    71.1 24    63.7 24  1013.5 24  1012.6 23    8.5 24    6.3 24   11.1  999.9    75.9*   69.1*  0.00D 999.9  000000 
722900 23188  19960819    69.5 24    60.7 24  1014.9 24  1014.0 23    6.4 24    6.1 24   11.1  999.9    75.9*   66.9*  0.00C 999.9  000000 
722900 23188  19960820    70.6 24    63.1 24  1015.3 24  1014.4 24    7.2 24    6.3 24   10.1  999.9    75.9*   66.0*  0.00D 999.9  100000 
722900 23188  19960821    71.2 24    64.3 24  1013.1 24  1012.2 23    6.8 24    4.8 24   11.1  999.9    78.1*   66.0*  0.00C 999.9  100000 
722900 23188  19960822    72.2 24    65.0 24  1011.5 24  1010.6 24    8.3 24    5.6 24   12.0  999.9    77.0*   68.0*  0.00D 999.9  100000 
722900 23188  19960823    72.8 24    65.9 24  1011.6 24  1010.7 24    7.9 24    7.1 24   12.0  999.9    78.1*   69.1*  0.00D 999.9  100000 
722900 23188  19960824    74.1 24    66.9 24  1011.4 24  1010.5 24    7.7 24    7.9 24   15.0  999.9    79.0*   70.0*  0.00D 999.9  100000 
722900 23188  19960825    74.0 24    65.5 24  1009.8 24  1008.9 24    9.2 24    7.3 24   14.0  999.9    80.1*   69.1*  0.00D 999.9  000000 
722900 23188  19960826    73.2 24    65.9 24  1008.2 24  1007.2 24    8.4 24    5.9 24   13.0  999.9    77.0*   69.8*  0.00D 999.9  000000 
722900 23188  19960827    70.5 24    63.9 24  1009.1 24  1008.2 24    7.8 24    4.8 24   12.0  999.9    79.0*   64.0*  0.00D 999.9  100000 
722900 23188  19960828    73.1 24    65.1 24  1010.4 24  1009.5 24    8.7 24    4.4 24    8.9  999.9    80.1*   68.0*  0.00D 999.9  000000 
722900 23188  19960829    75.6 24    65.8 24  1011.8 24  1010.9 24    9.2 24    4.6 24   11.1  999.9    82.9*   71.1*  0.00D 999.9  000000 
722900 23188  19960830    76.8 22    66.1 22  1011.4 22  1010.5 22    8.8 22    4.9 22    8.9  999.9    82.9*   69.8*  0.00D 999.9  100000 
722900 23188  19960831    74.0 24    67.9 24  1010.7 24  1009.7 24    7.2 24    4.8 24    8.0  999.9    81.0*   69.1*  0.00D 999.9  100000 
722900 23188  19960901    73.7 24    67.2 24  1010.2 24  1009.3 24    9.3 24    5.3 24    8.0   15.9    78.1*   71.1*  0.00D 999.9  000000 
722900 23188  19960902    71.8 24    64.7 24  1010.8 24  1009.8 23    8.1 24    6.0 24    8.9  999.9    75.9*   69.8*  0.00D 999.9  000000 
722900 23188  19960903    71.1 24    63.2 24  1012.3 24  1011.3 24    9.0 24    4.6 24   11.1  999.9    75.0*   68.0*  0.00D 999.9  000000 
722900 23188  19960904    71.5 24    63.1 24  1011.6 24  1010.7 24    9.2 24    6.2 24   15.0  999.9    75.0*   69.8*  0.00C 999.9  000000 
722900 23188  19960905    70.9 24    62.5 24  1009.9 24  1009.0 24    9.4 24    5.6 24   11.1  999.9    75.0*   69.1*  0.00D 999.9  000000 
722900 23188  19960906    71.3 24    63.9 24  1009.2 24  1008.3 23    9.5 24    4.0 24   12.0   15.0    77.0*   68.0*  0.00D 999.9  000000 
722900 23188  19960907    73.0 24    65.8 24  1011.3 24  1010.4 24    9.6 24    3.8 24   10.1  999.9    78.1*   69.8*  0.00D 999.9  000000 
722900 23188  19960908    74.3 24    66.2 24  1011.5 24  1010.5 23    9.8 24    6.1 24   13.0  999.9    78.1*   71.1*  0.00D 999.9  000000 
722900 23188  19960909    73.6 24    65.8 24  1010.8 24  1009.9 24    9.4 24    6.5 24   14.0  999.9    78.1*   69.1*  0.00D 999.9  000000 
722900 23188  19960910    72.9 24    65.6 24  1011.7 24  1010.9 24    8.0 24    7.1 24   13.0  999.9    78.1*   68.0*  0.00D 999.9  100000 
722900 23188  19960911    71.3 24    64.2 24  1012.5 24  1011.6 24    8.2 24    6.1 24   12.0  999.9    78.1*   66.0*  0.00D 999.9  100000 
722900 23188  19960912    69.6 24    62.9 24  1011.4 24  1010.5 21    8.5 24    5.3 24   13.0  999.9    75.0*   64.0*  0.00D 999.9  100000 
722900 23188  19960913    69.4 24    59.5 24  1010.4 24  1009.6 24    9.9 24    6.0 24   11.1  999.9    73.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960914    68.2 24    57.1 24  1008.8 24  1007.9 24    9.9 24    5.2 24   12.0  999.9    72.0*   64.9*  0.00D 999.9  000000 
722900 23188  19960915    68.3 24    57.7 24  1010.7 24  1009.7 24    9.9 24    6.5 24    8.9  999.9    72.0*   66.0*  0.00D 999.9  000000 
722900 23188  19960916    69.2 24    58.4 24  1010.9 24  1010.0 24    9.9 24    7.2 24   10.1  999.9    72.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960917    70.0 24    59.6 24  1012.1 24  1011.2 24    9.9 24    5.0 24   10.1  999.9    73.9*   66.0*  0.00D 999.9  000000 
722900 23188  19960918    69.5 24    60.6 24  1014.6 24  1013.8 24    9.8 24    6.5 24   11.1  999.9    73.0*   66.2*  0.00D 999.9  000000 
722900 23188  19960919    70.4 24    62.2 24  1015.8 24  1014.9 24    9.0 24    6.1 24   12.0  999.9    75.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960920    69.4 24    62.4 24  1014.5 24  1013.5 24    7.4 24    5.3 24    8.9  999.9    73.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960921    68.4 24    62.2 24  1013.0 24  1012.1 24    7.0 24    4.4 24    9.9  999.9    73.9*   64.4*  0.00D 999.9  100000 
722900 23188  19960922    67.9 24    60.7 24  1013.3 24  1012.4 24    9.2 24    5.4 24    8.0  999.9    71.6*   66.0*  0.00D 999.9  000000 
722900 23188  19960923    68.4 24    59.3 24  1014.6 24  1013.7 24    9.7 24    4.6 24   11.1  999.9    72.0*   66.2*  0.00D 999.9  000000 
722900 23188  19960924    69.2 24    59.6 24  1014.9 24  1013.9 24    9.9 24    6.5 24   12.0  999.9    72.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960925    68.4 24    61.5 24  1014.1 24  1013.2 24    9.4 24    7.6 24   13.0  999.9    70.0*   66.9*  0.00D 999.9  000000 
722900 23188  19960926    66.8 24    62.4 24  1013.4 24  1012.5 24    7.5 24    7.3 24   13.0  999.9    70.0*   64.4*  0.01G 999.9  110000 
722900 23188  19960927    68.4 24    61.0 24  1014.5 24  1013.6 24    9.0 24    7.7 24   14.0  999.9    73.0*   66.9*  0.02G 999.9  000000 
722900 23188  19960928    67.8 24    62.2 24  1015.9 24  1015.0 24    5.1 24    7.0 24   15.0  999.9    72.0*   64.0*  0.00G 999.9  100000 
722900 23188  19960929    66.3 24    61.8 24  1013.0 24  1012.0 24    2.9 24    5.3 24   11.1  999.9    71.1*   62.1*  0.00C 999.9  100000 
722900 23188  19960930    66.6 24    60.5 24  1011.4 24  1010.6 24    5.7 24    3.8 24    9.9  999.9    71.1*   62.6*  0.00D 999.9  100000 
722900 23188  19961001    66.2 24    57.9 24  1012.4 23  1011.2  4    8.9 24    4.9 24   10.1  999.9    70.0*   64.0*  0.00D 999.9  000000 
722900 23188  19961002    67.1 24    55.4 24  1013.9 24  1012.8  4    9.9 24    5.8 24   13.0  999.9    72.0*   64.4*  0.00D 999.9  000000 
722900 23188  19961003    67.1 24    60.5 24  1013.2 22  9999.9  0    6.6 24    7.3 24   12.0  999.9    70.0*   63.0*  0.00C 999.9  100000 
722900 23188  19961004    65.7 24    61.4 24  1010.1 22  9999.9  0    2.8 24    4.1 24    8.9  999.9    71.1*   63.0*  0.00D 999.9  100000 
722900 23188  19961005    64.3 24    60.2 24  1010.4 21  1009.2  4    4.2 24    3.7 24    7.0  999.9    68.0*   62.1*  0.00D 999.9  100000 
